車次,行駛日,南港,台北,板橋,桃園,新竹,苗栗,台中,彰化,雲林,嘉義,台南,左營
0583,1234567,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,06:25,06:37,06:47,06:59,07:17,07:30
0803,1234567,06:15,06:26,06:34,06:49,07:02,07:13,07:32,07:45,07:56,08:10,08:28,08:40
0203,1234567,xxxxx,06:30,06:38,--:--,--:--,--:--,07:20,--:--,--:--,07:45,08:03,08:15
0603,1234567,06:40,06:51,07:00,07:15,07:27,--:--,07:53,--:--,--:--,08:19,08:38,08:50
0805,1234567,07:00,07:11,07:19,07:34,07:47,07:58,08:17,08:30,08:41,08:55,09:13,09:25
0109,1234567,07:20,07:31,07:39,--:--,--:--,--:--,08:20,--:--,--:--,--:--,--:--,09:05
0609,1234567,07:35,07:46,07:55,08:10,08:22,--:--,08:48,--:--,--:--,09:14,09:33,09:45
0205,12345--,07:40,07:51,07:59,--:--,--:--,--:--,08:40,--:--,--:--,--:--,09:18,09:30
0809,1234567,08:00,08:11,08:19,08:34,08:47,08:58,09:17,09:30,09:41,09:55,10:13,10:25
0613,---4---,08:10,08:21,08:29,08:43,08:56,--:--,09:25,--:--,--:--,09:50,10:07,10:20
0113,1234567,08:20,08:31,08:39,--:--,--:--,--:--,09:20,--:--,--:--,--:--,--:--,10:05
0615,1234567,08:35,08:46,08:55,09:10,09:22,--:--,09:48,--:--,--:--,10:14,10:33,10:45
1209,-----6-,08:40,08:51,08:59,--:--,--:--,--:--,09:40,--:--,--:--,--:--,10:18,10:30
1307,-234---,08:50,09:01,--:--,09:20,--:--,--:--,09:54,10:06,10:17,10:30,10:48,11:00
0813,1234567,09:00,09:11,09:19,09:34,09:47,09:58,10:17,10:30,10:41,10:55,11:13,11:25
0117,1234567,09:20,09:31,09:39,--:--,--:--,--:--,10:20,--:--,--:--,--:--,--:--,11:05
0621,1234567,09:35,09:46,09:55,10:10,10:22,--:--,10:48,--:--,--:--,11:14,11:33,11:45
0817,1234567,10:00,10:11,10:19,10:34,10:47,10:58,11:17,11:30,11:41,11:55,12:13,12:25
0121,1234567,10:20,10:31,10:39,--:--,--:--,--:--,11:20,--:--,--:--,--:--,--:--,12:05
0627,1234567,10:35,10:46,10:55,11:10,11:22,--:--,11:48,--:--,--:--,12:14,12:33,12:45
0821,1234567,11:00,11:11,11:19,11:34,11:47,11:58,12:17,12:30,12:41,12:55,13:13,13:25
0125,1234567,11:20,11:31,11:39,--:--,--:--,--:--,12:20,--:--,--:--,--:--,--:--,13:05
0633,1234567,11:35,11:46,11:55,12:10,12:22,--:--,12:48,--:--,--:--,13:14,13:33,13:45
0825,1234567,12:00,12:11,12:19,12:34,12:47,12:58,13:17,13:30,13:41,13:55,14:13,14:25
0129,1234567,12:20,12:31,12:39,--:--,--:--,--:--,13:20,--:--,--:--,--:--,--:--,14:05
0639,1234567,12:35,12:46,12:55,13:10,13:22,--:--,13:48,--:--,--:--,14:14,14:33,14:45
0829,1234567,13:00,13:11,13:19,13:34,13:47,13:58,14:17,14:30,14:41,14:55,15:13,15:25
0133,1234567,13:20,13:31,13:39,--:--,--:--,--:--,14:20,--:--,--:--,--:--,--:--,15:05
