車次,行駛日 ,左營,台南,嘉義,雲林,彰化,台中,苗栗,新竹,桃園,板橋,台北,南港
0502,1234567,    ,    ,    ,    ,    ,0625,0644,0657,0709,0722,0732,0740
1504,12345--,    ,    ,    ,    ,    ,0645,0705,0720,0732,0745,0756,0805
1508,12345--,    ,    ,    ,    ,    ,0705,0725,0738,0751,0805,0816,0825
1510,1------,    ,    ,    ,    ,    ,0717,0737,0750,0803,0816,0827,0835
0802,1234567,0615,0629,0648,0700,0713,0725,0745,0758,0810,0822,0832,0840
1202,12345--,0625,0638,0657,----,----,0721,----,----,----,----,0807,0815
1602,12345--,0640,0653,0712,----,----,0740,----,0805,0818,0831,0842,0850
0204,1234567,0655,0707,----,----,----,0748,----,----,----,0827,0837,0845
0606,1234567,0700,0713,0732,----,----,0800,----,0825,0838,0851,0902,0910
1514,12345--,    ,    ,    ,    ,    ,0804,0824,0839,0851,0905,0916,0925
0206,1234567,0715,0728,----,----,----,0808,----,----,----,0847,0857,0905
0806,1234567,0725,0741,0800,0812,0824,0836,0856,0908,0920,0932,0942,0950
0610,1234567,0735,0748,0808,----,----,0832,----,0857,0911,0925,0936,0945
0108,1234567,0755,----,----,----,----,0839,----,----,----,0921,0931,0940
0612,1234567,0800,0813,0832,----,----,0900,----,0925,0938,0951,1002,1010
1210,1----67,0815,0828,----,----,----,0908,----,----,----,0947,0957,1005
0810,1234567,0825,0841,0900,0912,0924,0936,0956,1008,1020,1032,1042,1050
0616,1234567,0835,0848,0908,----,----,0932,----,0957,1011,1025,1036,1045
0112,1234567,0855,----,----,----,----,0939,----,----,----,1021,1031,1040
0618,1234567,0900,0913,0932,----,----,1000,----,1025,1038,1051,1102,1110
0814,1234567,0925,0941,1000,1012,1024,1036,1056,1108,1120,1132,1142,1150
1622,-----67,0935,0948,1008,----,----,1032,----,1057,1111,1125,1136,1145
0116,1234567,0955,----,----,----,----,1039,----,----,----,1121,1131,1140
0624,1234567,1000,1013,1032,----,----,1100,----,1125,1138,1151,1202,1210
1218,-----6-,1015,1028,----,----,----,1108,----,----,----,1147,1157,1205
0818,1234567,1025,1041,1100,1112,1124,1136,1156,1208,1220,1232,1242,1250
0628,1234567,1035,1048,1108,----,----,1132,----,1157,1211,1225,1236,1245
0120,1234567,1055,----,----,----,----,1139,----,----,----,1221,1231,1240
0630,1234567,1100,1113,1132,----,----,1200,----,1225,1238,1251,1302,1310
0822,1234567,1125,1141,1200,1212,1224,1236,1256,1308,1320,1332,1342,1350
0124,1234567,1155,----,----,----,----,1239,----,----,----,1321,1331,1340
0636,1234567,1200,1213,1232,----,----,1300,----,1325,1338,1351,1402,1410
0826,1234567,1225,1241,1300,1312,1324,1336,1356,1408,1420,1432,1442,1450
1640,-----67,1235,1248,1308,----,----,1332,----,1357,1411,1425,1436,1445
0128,1234567,1255,----,----,----,----,1339,----,----,----,1421,1431,1440
0642,1234567,1300,1313,1332,----,----,1400,----,1425,1438,1451,1502,1510
1538,------7,    ,    ,    ,    ,    ,1404,1424,1439,1451,1505,1516,1525
0830,1234567,1325,1341,1400,1412,1424,1436,1456,1508,1520,1532,1542,1550
1646,-----67,1335,1348,1408,----,----,1432,----,1457,1511,1525,1536,1545
0132,1234567,1355,----,----,----,----,1439,----,----,----,1521,1531,1540
0648,1234567,1400,1413,1432,----,----,1500,----,1525,1538,1551,1602,1610
1542,------7,    ,    ,    ,    ,    ,1504,1524,1539,1551,1605,1616,1625
1234,------7,1415,1428,----,----,----,1508,----,----,----,1547,1557,1605
0834,1234567,1425,1441,1500,1512,1524,1536,1556,1608,1620,1632,1642,1650
1652,----567,1435,1448,1508,----,----,1532,----,1557,1611,1625,1636,1645
0136,1234567,1455,----,----,----,----,1539,----,----,----,1621,1631,1640
0654,1234567,1500,1513,1532,----,----,1600,----,1625,1638,1651,1702,1710
1546,----5-7,    ,    ,    ,    ,    ,1604,1624,1639,1651,1705,1716,1725
1238,----5-7,1515,1528,----,----,----,1608,----,----,----,1647,1657,1705
0838,1234567,1525,1541,1600,1612,1624,1636,1656,1708,1720,1732,1742,1750
1658,----567,1535,1548,1608,----,----,1632,----,1657,1711,1725,1736,1745
0140,1234567,1555,----,----,----,----,1639,----,----,----,1721,1731,1740
0660,1234567,1600,1613,1632,----,----,1700,----,1725,1738,1751,1802,1810
1550,----5-7,    ,    ,    ,    ,    ,1704,1724,1739,1751,1805,1816,1825
0242,1234567,1615,1628,----,----,----,1708,----,----,----,1747,1757,1805
0842,1234567,1625,1641,1700,1712,1724,1736,1756,1808,1820,1832,1842,1850
0664,1234567,1635,1648,1708,----,----,1732,----,1757,1811,1825,1836,1845
0144,1234567,1655,----,----,----,----,1739,----,----,----,1821,1831,1840
0666,1234567,1700,1713,1732,----,----,1800,----,1825,1838,1851,1902,1910
1554,------7,    ,    ,    ,    ,    ,1804,1824,1839,1851,1905,1916,1925
1246,----5-7,1715,1728,----,----,----,1808,----,----,----,1847,1857,1905
