車次,行駛日 ,南港,台北,板橋,桃園,新竹,苗栗,台中,彰化,雲林,嘉義,台南,左營
0583,1234567,    ,    ,    ,    ,    ,    ,0625,0637,0647,0659,0717,0730
0803,1234567,0615,0626,0634,0649,0702,0713,0732,0745,0756,0810,0828,0840
0203,1234567,    ,0630,0638,----,----,----,0720,----,----,0745,0703,0815
0603,1234567,0640,0651,0700,0715,0727,----,0753,----,----,0819,0838,0850
0805,1234567,0700,0711,0719,0734,0747,0758,0817,0830,0841,0855,0913,0925
0109,1234567,0720,0731,0739,----,----,----,0820,----,----,----,----,0905
1505,123456-,0725,0736,0746,0801,0812,0825,0842,    ,    ,    ,    ,    
0609,1234567,0735,0746,0755,0810,0822,----,0848,----,----,0914,0933,0945
0205,1234567,0740,0751,0759,----,----,----,0840,----,----,----,0918,0930
0809,1234567,0800,0811,0819,0834,0847,0858,0917,0930,0941,0955,1013,1025
0613,1234567,0810,0821,0829,0843,0856,----,0925,----,----,0950,1007,1020
0113,1234567,0820,0831,0839,----,----,----,0920,----,----,----,----,1005
0615,1234567,0835,0846,0855,0910,0922,----,0948,----,----,1014,1033,1045
1209,-----6-,0840,0851,0859,----,----,----,0940,----,----,----,1018,1030
0813,1234567,0900,0911,0919,0934,0947,0958,1017,1030,1041,1055,1113,1125
0619,1234567,0910,0921,0929,0943,0956,----,1025,----,----,1050,1107,1120
0117,1234567,0920,0931,0939,----,----,----,1020,----,----,----,----,1105
1513,-----6-,0925,0936,0946,1001,1012,1025,1042,    ,    ,    ,    ,    
0621,1234567,0935,0946,0955,1010,1022,----,1048,----,----,1114,1133,1145
1213,-----6-,0940,0951,0959,----,----,----,1040,----,----,----,1118,1130
0817,1234567,1000,1011,1019,1034,1047,1058,1117,1130,1141,1155,1213,1225
0625,1234567,1010,1021,1029,1043,1056,----,1125,----,----,1150,1207,1220
0121,1234567,1020,1031,1039,----,----,----,1120,----,----,----,----,1205
0627,1234567,1035,1046,1055,1110,1122,----,1148,----,----,1214,1233,1245
1217,-----6-,1040,1051,1059,----,----,----,1140,----,----,----,1218,1230
0821,1234567,1100,1111,1119,1134,1147,1158,1217,1230,1241,1255,1313,1325
0125,1234567,1120,1131,1139,----,----,----,1220,----,----,----,----,1305
0633,1234567,1135,1146,1155,1210,1222,----,1248,----,----,1218,1236,1248
0825,1234567,1200,1211,1219,1234,1247,1258,1317,1330,1341,1355,1413,1425
1637,----5--,1210,1221,1229,1243,1256,----,1325,----,----,1350,1407,1420
0129,1234567,1220,1231,1239,----,----,----,1320,----,----,----,----,1405
0639,1234567,1235,1246,1255,1310,1322,----,1348,----,----,1414,1433,1445
0829,1234567,1300,1311,1319,1334,1347,1358,1417,1430,1441,1455,1513,1525
1643,-----67,1310,1321,1329,1343,1356,----,1425,----,----,1450,1507,1520
0133,1234567,1320,1331,1339,----,----,----,1420,----,----,----,----,1505
0645,1234567,1335,1346,1355,1410,1422,----,1448,----,----,1514,1533,1545
0833,1234567,1400,1411,1419,1434,1447,1458,1517,1530,1541,1555,1613,1625
1649,----567,1410,1421,1429,1443,1456,----,1525,----,----,1550,1607,1620
0137,1234567,1420,1431,1439,----,----,----,1520,----,----,----,----,1605
0651,1234567,1435,1446,1455,1510,1522,----,1548,----,----,1614,1633,1645
0837,1234567,1500,1511,1519,1534,1547,1558,1617,1630,1641,1655,1713,1725
1655,----567,1510,1521,1529,1543,1556,----,1625,----,----,1650,1707,1720
0141,1234567,1520,1531,1539,----,----,----,1620,----,----,----,----,1705
0657,1234567,1535,1546,1555,1610,1622,----,1648,----,----,1714,1733,1745
1237,----5-7,1540,1551,1559,----,----,----,1640,----,----,----,1718,1730
0841,1234567,1600,1611,1619,1634,1647,1658,1717,1730,1741,1755,1813,1825
0661,1234567,1610,1621,1629,1643,1656,----,1725,----,----,1750,1807,1820
0145,1234567,1620,1631,1639,----,----,----,1720,----,----,----,----,1805
1541,----5--,1625,1636,1646,1701,1712,1725,1742,    ,    ,    ,    ,    
0663,1234567,1635,1646,1655,1710,1722,----,1748,----,----,1814,1833,1845
1241,----5-7,1640,1651,1659,----,----,----,1740,----,----,----,1818,1830
0845,1234567,1700,1711,1719,1734,1747,1758,1817,1830,1841,1855,1913,1925
0667,1234567,1710,1721,1729,1743,1756,----,1825,----,----,1850,1907,1920
0149,1234567,1720,1731,1739,----,----,----,1820,----,----,----,----,1905
1545,----5--,1725,1736,1746,1801,1812,1825,1842,    ,    ,    ,    ,    
0669,1234567,1735,1746,1755,1810,1822,----,1848,----,----,1914,1933,1945
1245,----5-7,1740,1751,1759,----,----,----,1840,----,----,----,1918,1930
0849,1234567,1800,1811,1819,1834,1847,1858,1917,1930,1941,1955,2013,2025
0673,1234567,1810,1821,1829,1843,1856,----,1925,----,----,1950,2007,2020
0153,1234567,1820,1831,1839,----,----,----,1920,----,----,----,----,2005
1549,----5-7,1825,1836,1846,1901,1912,1925,1942,    ,    ,    ,    ,    
0675,1234567,1835,1846,1855,1910,1922,----,1948,----,----,2014,2033,2045
0249,1234567,1840,1851,1859,----,----,----,1940,----,----,----,2018,2030
