車次,行駛日,南港,台北,板橋,桃園,新竹,苗栗,台中,彰化,雲林,嘉義,台南,左營
0583,1234567,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,06:25,06:37,06:47,06:59,07:17,07:30
0803,1234567,06:15,06:26,06:34,06:49,07:02,07:13,07:32,07:45,07:56,08:10,08:28,08:40
0203,1234567,xxxxx,06:30,06:38,--:--,--:--,--:--,07:20,--:--,--:--,07:45,08:03,08:15
0603,1234567,06:40,06:51,07:00,07:15,07:27,--:--,07:53,--:--,--:--,08:19,08:38,08:50
0805,1234567,07:00,07:11,07:19,07:34,07:47,07:58,08:17,08:30,08:41,08:55,09:13,09:25
0109,1234567,07:20,07:31,07:39,--:--,--:--,--:--,08:20,--:--,--:--,--:--,--:--,09:05
0502,1234567,07:20,07:12,07:02,06:49,06:37,06:24,06:05,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
0609,1234567,07:35,07:46,07:55,08:10,08:22,--:--,08:48,--:--,--:--,09:14,09:33,09:45
0205,12345--,07:40,07:51,07:59,--:--,--:--,--:--,08:40,--:--,--:--,--:--,09:18,09:30
1504,12345--,07:45,07:37,07:27,07:14,07:02,06:49,06:30,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
0300,1234567,07:55,07:47,--:--,07:28,--:--,--:--,06:56,06:44,06:34,06:21,06:03,05:50
0809,1234567,08:00,08:11,08:19,08:34,08:47,08:58,09:17,09:30,09:41,09:55,10:13,10:25
0613,---4---,08:10,08:21,08:29,08:43,08:56,--:--,09:25,--:--,--:--,09:50,10:07,10:20
0508,1234567,08:10,08:01,07:50,07:38,07:25,07:12,06:52,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
1202,12345--,08:15,08:07,--:--,--:--,--:--,--:--,07:21,--:--,--:--,06:57,06:38,06:25
0113,1234567,08:20,08:31,08:39,--:--,--:--,--:--,09:20,--:--,--:--,--:--,--:--,10:05
1510,12345--,08:30,08:21,08:10,07:58,07:45,07:31,07:12,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
0615,1234567,08:35,08:46,08:55,09:10,09:22,--:--,09:48,--:--,--:--,10:14,10:33,10:45
1209,-----6-,08:40,08:51,08:59,--:--,--:--,--:--,09:40,--:--,--:--,--:--,10:18,10:30
0802,1234567,08:40,08:32,08:22,08:10,07:58,07:45,07:25,07:13,07:00,06:48,06:29,06:15
0204,1234567,08:45,08:37,08:27,--:--,--:--,--:--,07:48,--:--,--:--,--:--,07:07,06:55
1307,-234---,08:50,09:01,--:--,09:20,--:--,--:--,09:54,10:06,10:17,10:30,10:48,11:00
1602,12345--,08:50,08:42,08:31,08:18,08:05,--:--,07:40,--:--,--:--,07:12,06:53,06:40
1302,12345--,08:55,08:47,--:--,08:27,--:--,--:--,07:53,07:42,07:32,07:19,06:59,06:45
0813,1234567,09:00,09:11,09:19,09:34,09:47,09:58,10:17,10:30,10:41,10:55,11:13,11:25
0206,12345--,09:05,08:57,08:47,--:--,--:--,--:--,08:08,--:--,--:--,--:--,07:28,07:15
0606,1234567,09:10,09:02,08:51,08:38,08:25,--:--,08:00,--:--,--:--,07:32,07:13,07:00
